time [yr],subsidence [m]
1952.01,0
1956.55,0.230928
1957.58,0.313402
1958.60,0.478351
1959.96,0.610309
1960.80,0.808247
1961.64,0.956701
1962.91,1.17113
1963.93,1.51753
1964.92,1.83093
1965.48,2.01237
1965.90,2.24330
1966.41,2.42474
1966.93,2.57320
1967.39,2.78763
1967.96,3.00206
1968.94,3.39794
1969.92,3.79381
1971.00,4.22268
1971.88,4.60206
1975.95,6.28454
1976.98,6.79588
1977.87,7.25773
1978.99,7.75258
1979.97,8.24742
1981.00,8.72577
1981.98,9.18763
1982.92,9.60000
1983.90,9.96289
1984.93,10.3588
1985.96,10.7381
1986.94,11.1010
1988.25,11.5299
1989.33,11.9258
1991.57,12.6021
1994.28,13.3773
1997.46,14.0371
1999.99,14.4495
2001.20,14.5814
2004.94,14.8454
2009.01,15.0268
2013.03,15.1753
